segment,group,lag_index,lag_seconds,mean_isc_r,se_isc_r,n_subjects,note
mentalizing,ASD,0,-5.0,0.0308,0.016092051012343518,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,1,-4.5,0.023852054794520548,0.01823793080092974,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,2,-4.0,0.028739726027397258,0.01986618128445836,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,3,-3.5,0.02658493150684931,0.019955718641821465,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,4,-3.0,0.018272602739726026,0.018588005459352075,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,5,-2.5,0.025287671232876712,0.018190161898620973,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,6,-2.0,0.03906164383561644,0.019162326551506712,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,7,-1.5,0.054602739726027395,0.02119426830603427,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,8,-1.0,0.06227671232876712,0.02126414682833385,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,9,-0.5,0.06486986301369863,0.021371952031962654,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,10,0.0,0.05945890410958903,0.02009382291435876,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,11,0.5,0.03438767123287671,0.020255193721577955,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,12,1.0,0.002153424657534246,0.020458990711215014,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,13,1.5,-0.03429315068493151,0.019497510800884833,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,14,2.0,-0.04732054794520548,0.01871597551744633,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
mentalizing,ASD,15,2.5,-0.040490410958904106,0.018628241514003597,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
