segment,group,isc_definition,n,mean_isc,se,ci_low,ci_high,comparison_p,fdr_p
mentalizing,ASD,td_template,58,0.03319853039242305,0.017205439745238936,-0.0012547684093305797,0.06765182919417667,0.0222884005773524,0.0334326008660286
mentalizing,TD,td_template,78,0.08500011968876314,0.014301936636892458,0.05652132549798487,0.11347891387954141,0.0222884005773524,0.0334326008660286
neutral,ASD,td_template,58,0.06233385538360453,0.008890607783800528,0.044530720384440205,0.08013699038276886,8.842605804399493e-06,2.652781741319848e-05
neutral,TD,td_template,78,0.11484311577133631,0.006960815589021539,0.10098236113420918,0.12870387040846343,8.842605804399493e-06,2.652781741319848e-05
pain,ASD,td_template,58,0.05822791650976031,0.018740774763292514,0.020700162365914453,0.09575567065360616,0.0013906335223511,0.0027812670447022
pain,TD,td_template,78,0.13368393859965072,0.013329113542690434,0.10714228267113755,0.16022559452816387,0.0013906335223511,0.0027812670447022
mentalizing,ASD,within_group_loo,58,0.06744327748273696,0.018208086435596803,0.03098221331566925,0.10390434164980467,0.4498155085968643,0.4907078275602157
mentalizing,TD,within_group_loo,78,0.08500011968876314,0.014301936636892458,0.05652132549798487,0.11347891387954141,0.4498155085968643,0.4907078275602157
neutral,ASD,within_group_loo,58,0.06668882369316301,0.007542767804374047,0.05158469169745171,0.0817929556888743,6.8934869160710895e-06,2.652781741319848e-05
neutral,TD,within_group_loo,78,0.11484311577133631,0.006960815589021539,0.10098236113420918,0.12870387040846343,6.8934869160710895e-06,2.652781741319848e-05
pain,ASD,within_group_loo,58,0.02063819461686916,0.018875008220505307,-0.017158357388526536,0.05843474662226485,3.496179664081898e-06,2.097707798449139e-05
pain,TD,within_group_loo,78,0.13368393859965072,0.013329113542690434,0.10714228267113755,0.16022559452816387,3.496179664081898e-06,2.097707798449139e-05
