segment,metric,group,mean,se,ci_low,ci_high,n,group_effect,group_effect_se,p,fdr_p,isc_definition
mentalizing,Aperiodic-ISC,ASD,0.033198530392423,,,,136,0.0518015892963401,0.022373478683314636,0.0222884005773524,0.0334326008660286,td_template
mentalizing,Aperiodic-ISC,TD,0.0850001196887631,,,,136,0.0518015892963401,0.022373478683314636,0.0222884005773524,0.0334326008660286,td_template
mentalizing,Aperiodic-ISC,ASD,0.0674432774827369,,,,136,0.0175568422060262,0.023153397228308677,0.4498155085968643,0.4907078275602157,within_group_loo
mentalizing,Aperiodic-ISC,TD,0.0850001196887631,,,,136,0.0175568422060262,0.023153397228308677,0.4498155085968643,0.4907078275602157,within_group_loo
mentalizing,Envelope ISC,ASD,0.0707937371965877,,,,136,0.1000012182456758,0.03636228593091744,0.0068629108122907,0.0117649899639269,within_group_loo
mentalizing,Envelope ISC,TD,0.1707949554422635,,,,136,0.1000012182456758,0.03636228593091744,0.0068629108122907,0.0117649899639269,within_group_loo
pain,Aperiodic-ISC,ASD,0.0582279165097603,,,,136,0.07545602208989038,0.022997432608062904,0.0013906335223511,0.0027812670447022,td_template
pain,Aperiodic-ISC,TD,0.1336839385996507,,,,136,0.07545602208989038,0.022997432608062904,0.0013906335223511,0.0027812670447022,td_template
pain,Aperiodic-ISC,ASD,0.0206381946168691,,,,136,0.1130457439827816,0.023106951403378095,3.496179664081898e-06,2.097707798449139e-05,within_group_loo
pain,Aperiodic-ISC,TD,0.1336839385996507,,,,136,0.1130457439827816,0.023106951403378095,3.496179664081898e-06,2.097707798449139e-05,within_group_loo
pain,Envelope ISC,ASD,0.0362145440654053,,,,136,0.13578643623957598,0.0325973844453862,5.531692828749576e-05,0.0001327606278899,within_group_loo
pain,Envelope ISC,TD,0.1720009803049813,,,,136,0.13578643623957598,0.0325973844453862,5.531692828749576e-05,0.0001327606278899,within_group_loo
neutral,Aperiodic-ISC,ASD,0.0623338553836045,,,,136,0.05250926038773179,0.011291406485896247,8.842605804399493e-06,2.652781741319848e-05,td_template
neutral,Aperiodic-ISC,TD,0.1148431157713363,,,,136,0.05250926038773179,0.011291406485896247,8.842605804399493e-06,2.652781741319848e-05,td_template
neutral,Aperiodic-ISC,ASD,0.066688823693163,,,,136,0.0481542920781733,0.010263834557077923,6.8934869160710895e-06,2.652781741319848e-05,within_group_loo
neutral,Aperiodic-ISC,TD,0.1148431157713363,,,,136,0.0481542920781733,0.010263834557077923,6.8934869160710895e-06,2.652781741319848e-05,within_group_loo
neutral,Envelope ISC,ASD,0.1505471436734753,,,,136,0.1878440434895792,0.037684113842527026,2.256801914334198e-06,2.097707798449139e-05,within_group_loo
neutral,Envelope ISC,TD,0.3383911871630545,,,,136,0.1878440434895792,0.037684113842527026,2.256801914334198e-06,2.097707798449139e-05,within_group_loo
mentalizing,Alpha PLV ISC,ASD,0.1129133511161525,,,,136,0.0118208066206838,,0.311038886221516,,within_group_loo
mentalizing,Alpha PLV ISC,TD,0.1247341577368363,,,,136,0.0118208066206838,,0.311038886221516,,within_group_loo
pain,Alpha PLV ISC,ASD,0.1150604610048477,,,,136,0.000409526126170609,,0.969596274073252,,within_group_loo
pain,Alpha PLV ISC,TD,0.1154699871310183,,,,136,0.000409526126170609,,0.969596274073252,,within_group_loo
neutral,Alpha PLV ISC,ASD,0.0501807368583703,,,,136,0.004289416291671497,,0.4232546478671238,,within_group_loo
neutral,Alpha PLV ISC,TD,0.0544701531500418,,,,136,0.004289416291671497,,0.4232546478671238,,within_group_loo
