channel,n_selected,n_splits,selection_rate,is_posterior_core
E38,108,200,0.54,True
E37,95,200,0.475,True
E13,75,200,0.375,False
E14,71,200,0.355,False
E33,70,200,0.35,True
E39,69,200,0.345,False
E63,59,200,0.295,False
E36,57,200,0.285,True
E55,55,200,0.275,False
E59,52,200,0.26,False
E1,50,200,0.25,False
E31,30,200,0.15,False
E17,24,200,0.12,False
E8,17,200,0.085,False
E16,15,200,0.075,False
E21,15,200,0.075,False
E62,14,200,0.07,False
E40,13,200,0.065,False
E11,12,200,0.06,False
E60,9,200,0.045,False
E2,8,200,0.04,False
E46,8,200,0.04,False
E47,8,200,0.04,False
E12,7,200,0.035,False
E34,7,200,0.035,False
E35,7,200,0.035,False
E4,7,200,0.035,False
E45,7,200,0.035,False
E42,6,200,0.03,False
E28,5,200,0.025,False
E18,4,200,0.02,False
E23,4,200,0.02,False
E43,3,200,0.015,False
E41,2,200,0.01,False
E5,2,200,0.01,False
E7,2,200,0.01,False
E15,1,200,0.005,False
E19,1,200,0.005,False
E20,1,200,0.005,False
E24,1,200,0.005,False
E51,1,200,0.005,False
E56,1,200,0.005,False
E58,1,200,0.005,False
