channel,anatomical_roi,is_posterior_cluster
E1,frontal,False
E2,frontal,False
E3,frontal,False
E4,central,False
E5,frontal,False
E6,frontal,False
E7,central,False
E8,frontal,False
E9,frontal,False
E10,frontal,False
E11,frontal,False
E12,frontal,False
E13,parietal,False
E14,parietal,False
E15,central,False
E16,central,False
E17,frontal,False
E18,temporal,False
E19,temporal,False
E20,parietal,False
E21,central,False
E22,temporal,False
E23,temporal,False
E24,temporal,False
E25,temporal,False
E26,temporal,False
E27,occipital,False
E28,parietal,False
E29,temporal,False
E30,occipital,False
E31,occipital,False
E32,occipital,False
E33,occipital,True
E34,central,False
E35,occipital,False
E36,occipital,True
E37,occipital,True
E38,occipital,True
E39,occipital,False
E40,occipital,False
E41,central,False
E42,parietal,False
E43,occipital,False
E44,occipital,False
E45,temporal,False
E46,temporal,False
E47,temporal,False
E48,temporal,False
E49,temporal,False
E50,parietal,False
E51,central,False
E52,temporal,False
E53,central,False
E54,central,False
E55,temporal,False
E56,temporal,False
E57,parietal,False
E58,parietal,False
E59,parietal,False
E60,frontal,False
E61,parietal,False
E62,frontal,False
E63,frontal,False
E64,parietal,False
