analysis,n_asd,n_td,asd_mean,td_mean,mean_diff_td_minus_asd,t_stat,p_value,direction,outcome,n,beta_td_minus_asd,se,status,n_subjects,asd_delta_mean,td_delta_mean,mixed_anova_F,mixed_anova_p,mixed_anova_np2,ols_interaction_beta,ols_interaction_p,n_pairs
primary_resting_posterior_N138,61.0,77.0,1.8681096518547926,1.9897785476198468,0.12166889576505424,-4.346890460973703,3.128021057114401e-05,TD>ASD,,,,,,,,,,,,,,
primary_resting_posterior_OLS_cov,,,,,,,0.00013337285837883953,TD>ASD,posterior_exponent,138.0,0.13289970633078488,0.03376518242972165,ok,,,,,,,,,
hbn_matched_resting_EO_nuclear,112.0,112.0,2.1951537710074907,2.3598143241136236,0.16466055310613292,-2.112971566041439,0.03573591586382627,TD>ASD,,,,,,,,,,,,,,
hbn_matched_resting_EO_OLS_cov,,,,,,,0.04452110495963359,TD>ASD,posterior_exponent,224.0,0.15960357363363653,0.07898162602099298,ok,,,,,,,,,
primary_movie_isc_mentalizing_N136,58.0,78.0,0.03319853039242305,0.08500011968876314,0.05180158929634009,-2.3153122511508197,0.02228840057735242,TD>ASD,,,,,,,,,,,,,,
primary_movie_isc_pain_N136,58.0,78.0,0.05822791650976031,0.13368393859965072,0.07545602208989041,-3.281062863662246,0.001390633522351113,TD>ASD,,,,,,,,,,,,,,
primary_movie_isc_neutral_N136,58.0,78.0,0.06233385538360453,0.11484311577133631,0.05250926038773178,-4.650373755769001,8.842605804399493e-06,TD>ASD,,,,,,,,,,,,,,
hbn_movie_isc_sliding_matched,119.0,119.0,0.0452098031754563,0.0804662494917207,0.0352564463162644,-2.599003771067935,0.0099387987916391,TD>ASD,,,,,,,,,,,,,,
hbn_movie_isc_epoch_matched,119.0,119.0,0.0863967259036281,0.1363810978335927,0.0499843719299646,-2.3799520873990807,0.0181117163317081,TD>ASD,,,,,,,,,,,,,,
hbn_movie_isc_sliding_full,135.0,232.0,0.0533576553707139,0.0807893626522366,0.0274317072815226,-1.994189850718853,0.0471049878134231,TD>ASD,,,,,,,,,,,,,,
hbn_movie_isc_epoch_full,135.0,233.0,0.099827432663953,0.1325576920077825,0.0327302593438294,-1.7129923512415743,0.0878879442619952,TD>ASD,,,,,,,,,,,,,,
primary_rest_x_movie_N136_full,61.0,75.0,,,,,,,,,,,ok,136.0,0.08655902517073519,-0.08733981898498377,16.780528844017887,7.22207781163635e-05,0.111291086273993,-0.17389884415571777,0.0001020940256811312,
primary_rest_x_movie_N104_isc_overlap,45.0,59.0,,,,,,,,,,,ok,104.0,0.08635528730494026,-0.03035462360961612,14.896373038020995,0.00019938004070777795,0.1274322945261603,-0.11670991091455474,0.00024251602323279537,
hbn_matched_pair_resting_EO_paired,,,,,0.1977712642074559,2.2990963827656072,0.023479168028468115,TD>ASD,,,,,,,,,,,,,,106.0
