subset,n,n_asd,n_td,asd_delta,td_delta,primary_like_pattern,inter_F,inter_p,inter_np2,ols_int_beta,ols_int_p,status,analysis,delta_group_coef,delta_group_p,delta_group_x_rest_p,group,mean_pct_delta
PRIMARY_reference_N136,136,61.0,75.0,0.08655902517073519,-0.08733981898498377,True,16.780528844017887,7.22207781163635e-05,0.111291086273993,-0.17389884415571782,9.904782346701082e-05,ok,raw_mixed_anova,,,,,
HBN_full_N224_raw,224,112.0,112.0,-0.09122962095686316,-0.4049995806980436,False,14.612519638498503,0.00017150581731447786,0.06175717016506063,-0.3137699597411804,0.00014155657390594757,ok,raw_mixed_anova,-0.4260251812744277,0.024979933297906508,0.14305837512107686,,
HBN_full_N224,224,112.0,112.0,0.8272622177097775,0.5423485529008951,False,12.246960463235185,0.0005630349753484118,0.05228225988083774,-0.2849136648088817,0.0004943128870930941,ok,age_sex_iq_residualized,,,,,
HBN_age_primary_overlap_70_131_raw,224,112.0,112.0,-0.09122962095686316,-0.4049995806980436,False,14.612519638498503,0.00017150581731447786,0.06175717016506063,-0.3137699597411804,0.00014155657390594757,ok,raw_mixed_anova,-0.4260251812744277,0.024979933297906508,0.14305837512107686,,
HBN_age_primary_overlap_70_131,224,112.0,112.0,0.8272622177097775,0.5423485529008951,False,12.246960463235185,0.0005630349753484118,0.05228225988083774,-0.2849136648088817,0.0004943128870930941,ok,age_sex_iq_residualized,,,,,
HBN_age_primary_mean_pm24_raw,168,81.0,87.0,-0.09687658037693822,-0.34016458848961,False,6.6869420057296685,0.010570580981190333,0.03872291632512549,-0.24328800811267182,0.010248329877891921,ok,raw_mixed_anova,-0.46978343997650307,0.03740296818257715,0.1428382406129308,,
HBN_age_primary_mean_pm24,168,81.0,87.0,0.6104379642166291,0.3826215301109265,False,5.907410689810301,0.016142179384500573,0.03436390942138982,-0.22781643410570318,0.015852709351798912,ok,age_sex_iq_residualized,,,,,
HBN_rest_in_primary_p5_p95_raw,76,41.0,35.0,0.23177963295036239,0.0453514158908013,False,4.845353113877873,0.03083928292331131,0.061453883108109564,-0.18642821705955953,0.026272226839029664,ok,raw_mixed_anova,2.0226014660936475,0.11534903530980599,0.08595141628556544,,
HBN_rest_in_primary_p5_p95,76,41.0,35.0,0.6987118621495079,0.5227714304912456,False,4.464861351094526,0.03797147903359452,0.0569026857909849,-0.17594043165826076,0.03322585194265598,ok,age_sex_iq_residualized,,,,,
HBN_age_overlap_and_rest_p5_p95_raw,76,41.0,35.0,0.23177963295036239,0.0453514158908013,False,4.845353113877873,0.03083928292331131,0.061453883108109564,-0.18642821705955953,0.026272226839029664,ok,raw_mixed_anova,2.0226014660936475,0.11534903530980599,0.08595141628556544,,
HBN_age_overlap_and_rest_p5_p95,76,41.0,35.0,0.6987118621495079,0.5227714304912456,False,4.464861351094526,0.03797147903359452,0.0569026857909849,-0.17594043165826076,0.03322585194265598,ok,age_sex_iq_residualized,,,,,
HBN_asd_rest_below_primary_median_raw,46,27.0,19.0,0.4478964140778225,0.28868905141017837,False,1.6148915744939265,0.21048348660036634,0.03540272745922542,-0.1592073626676443,0.18185671842615436,ok,raw_mixed_anova,-1.3584520579624764,0.010996699792713917,0.018692937569891356,,
HBN_asd_rest_below_primary_median,46,27.0,19.0,0.926206850982188,0.7947740382884492,False,1.1248103700147432,0.29467217396043827,0.024926650345818965,-0.1314328126937389,0.26827402206704387,ok,age_sex_iq_residualized,,,,,
HBN_td_rest_above_primary_median_raw,153,74.0,79.0,-0.3476312177552646,-0.651858618207968,False,12.65532131355202,0.0005007204897868372,0.07732911592471424,-0.30422740045270374,0.0004210866088461371,ok,raw_mixed_anova,-0.8327913907961285,0.011357524812443667,0.03044886870144212,,
HBN_td_rest_above_primary_median,153,74.0,79.0,0.5479380768792221,0.26533014168400393,False,11.178528298368871,0.001043543726804046,0.06892730138605717,-0.2826079351952192,0.0009224792983236716,ok,age_sex_iq_residualized,,,,,
HBN_age12_iq15_sex_matched_N186_raw,186,93.0,93.0,-0.07450621293768128,-0.35820957399244774,False,10.998020705772586,0.00109891034006768,0.05640067866312967,-0.28370336105476635,0.0009726282873296733,ok,raw_mixed_anova,-0.4533272437641479,0.02829702777875683,0.1697667924308315,,
HBN_age12_iq15_sex_matched_N186,186,93.0,93.0,1.0218545572444373,0.7429597643004094,False,11.032416554949435,0.0010798492655279457,0.05656709151138013,-0.2788947929440277,0.0009549258923304753,ok,age_sex_iq_residualized,,,,,
HBN_full_N224,112,,,,,,,,,,,ok,pct_change_from_rest,,,,ASD,6.0619174308769805
HBN_full_N224,112,,,,,,,,,,,ok,pct_change_from_rest,,,,TD,-11.590651505936213
HBN_rest_in_primary_p5_p95,41,,,,,,,,,,,ok,pct_change_from_rest,,,,ASD,11.9456755311139
HBN_rest_in_primary_p5_p95,35,,,,,,,,,,,ok,pct_change_from_rest,,,,TD,2.7295214166416386
