channel,anatomical_roi,is_posterior_cluster
E1,frontal,FALSE
E2,frontal,FALSE
E3,frontal,FALSE
E4,central,FALSE
E5,frontal,FALSE
E6,frontal,FALSE
E7,central,FALSE
E8,frontal,FALSE
E9,frontal,FALSE
E10,frontal,FALSE
E11,frontal,FALSE
E12,frontal,FALSE
E13,parietal,FALSE
E14,parietal,FALSE
E15,central,FALSE
E16,central,FALSE
E17,frontal,FALSE
E18,temporal,FALSE
E19,temporal,FALSE
E20,parietal,FALSE
E21,central,FALSE
E22,temporal,FALSE
E23,temporal,FALSE
E24,temporal,FALSE
E25,temporal,FALSE
E26,temporal,FALSE
E27,occipital,FALSE
E28,parietal,FALSE
E29,temporal,FALSE
E30,occipital,FALSE
E31,occipital,FALSE
E32,occipital,FALSE
E33,occipital,TRUE
E34,central,FALSE
E35,occipital,FALSE
E36,occipital,TRUE
E37,occipital,TRUE
E38,occipital,TRUE
E39,occipital,FALSE
E40,occipital,FALSE
E41,central,FALSE
E42,parietal,FALSE
E43,occipital,FALSE
E44,occipital,FALSE
E45,temporal,FALSE
E46,temporal,FALSE
E47,temporal,FALSE
E48,temporal,FALSE
E49,temporal,FALSE
E50,parietal,FALSE
E51,central,FALSE
E52,temporal,FALSE
E53,central,FALSE
E54,central,FALSE
E55,temporal,FALSE
E56,temporal,FALSE
E57,parietal,FALSE
E58,parietal,FALSE
E59,parietal,FALSE
E60,frontal,FALSE
E61,parietal,FALSE
E62,frontal,FALSE
E63,frontal,FALSE
E64,parietal,FALSE
