freq,power
1.0,1.308443399242921e-10
1.5,6.665312396700471e-11
2.0,3.8719097555592155e-11
2.5,2.6126512325604973e-11
3.0,2.124970733524114e-11
3.5,1.925465646131829e-11
4.0,1.7279523677541565e-11
4.5,1.4419743246235743e-11
5.0,1.1708376275096693e-11
5.5,1.0055345774246947e-11
6.0,9.728514829056997e-12
6.5,1.0206595245303931e-11
7.0,1.085853328371316e-11
7.5,1.1132974403851939e-11
8.0,1.2020637182421026e-11
8.5,1.6358065613887206e-11
9.0,1.940769506074145e-11
9.5,1.7540263986337706e-11
10.0,1.4145005484242644e-11
10.5,9.388081075373512e-12
11.0,5.215577558558189e-12
11.5,3.210512904723432e-12
12.0,2.4156946723206687e-12
12.5,2.031131575898744e-12
13.0,1.8317847217640517e-12
13.5,1.6893306100604741e-12
14.0,1.5703495554332418e-12
14.5,1.4471747542074597e-12
15.0,1.360043247400038e-12
15.5,1.2543084245231769e-12
16.0,1.1904632463693343e-12
16.5,1.153304860949062e-12
17.0,1.0740854957585021e-12
17.5,9.96187630873562e-13
18.0,9.637774630698005e-13
18.5,9.095447905988025e-13
19.0,8.57197320618919e-13
19.5,7.845251019520227e-13
20.0,7.397684803804734e-13
20.5,6.787060225355088e-13
21.0,6.273246579602906e-13
21.5,5.790308530145896e-13
22.0,5.407295954308795e-13
22.5,4.979231827987013e-13
23.0,4.660941534462281e-13
23.5,4.3905648523941337e-13
24.0,4.2204172905719173e-13
24.5,4.0276654808100715e-13
25.0,3.8482585687639546e-13
25.5,3.7343755653869343e-13
26.0,3.7126523470527207e-13
26.5,3.5592957556946694e-13
27.0,3.4476150179288454e-13
27.5,3.3376751645951506e-13
28.0,3.2701421688399353e-13
28.5,3.2581973301903274e-13
29.0,3.1861632119393203e-13
29.5,3.106293504657442e-13
30.0,3.1449095614993563e-13
30.5,3.1259258181937174e-13
31.0,3.0293260284962114e-13
31.5,3.00644947180048e-13
32.0,2.9465904133512116e-13
32.5,2.8268981965440313e-13
33.0,2.723495537504955e-13
33.5,2.5251082098224707e-13
34.0,2.5800978847046765e-13
34.5,2.655940464962448e-13
35.0,2.602931391217284e-13
35.5,2.505688642761626e-13
36.0,2.5466286421251134e-13
36.5,2.500703670871412e-13
37.0,2.442105817718775e-13
37.5,2.418411049047463e-13
38.0,2.4150475077430315e-13
38.5,2.3474426210899813e-13
39.0,2.4111006551213085e-13
39.5,2.4041836018630965e-13
40.0,2.3236125267504474e-13
