figure_source_file,source_input_files,script_used,cohort_definition,manuscript_n,expected_n,actual_n,exclusion_list_link,legacy_cohort_mode,status,notes,posterior_plot_n_asd,posterior_plot_n_td,posterior_plot_n_total
fig1_resting_primary_subjects.csv,outputs/tables/main_cohort_subject_list.csv;outputs/tables/resting_features_locked.csv,scripts/prepare_figure_source_data.py,primary resting-state spectral n=138,138,138,138,diagnostics/fig1_posterior_exponent_missing.csv,True,OK,posterior_exponent complete-case matches primary cohort n=61 ASD / 77 TD / 138 total,61.0,77.0,138.0
fig1_global_models.csv,derivatives/stats/main_group_analysis.csv;outputs/tables/exploratory_significance_scan.csv,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,138,138,138,,True,OK,,,,
fig2_channel_level.csv,derivatives/stats/channel_level_analysis.csv;outputs/tables/significant_channels_fdr.csv;MNE GSN-HydroCel-64_1.0 montage,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,64,64,64,,True,OK,,,,
fig2_roi_models.csv,outputs/tables/roi_mixed_model_s3_with_std_beta.csv,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,138,138,138,,True,OK,,,,
fig2_posterior_robustness.csv,outputs/tables/posterior_roi_sensitivity/group_ols_models.csv;outputs/tables/artifact_defense/exponent_models_with_hf_covariate.csv;outputs/tables/iclabel_sensitivity/*;supp_table_s1 cohort IDs + OLS assembly,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,7,7,7,diagnostics/cohort_covariate_exclusion_diagnostic.csv,True,OK,,,,
fig2_loocv_survival.csv,outputs/tables/robustness/posterior_roi_loocv_fdr_summary.csv,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,7,7,7,,True,OK,,,,
fig3_development_subjects.csv,outputs/tables/main_cohort_subject_list.csv;outputs/tables/resting_features_locked.csv;derivatives/stats/spectral_maturation_deviation_scores.csv,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,138,138,138,,True,OK,,,,
fig3_development_models.csv,outputs/tables/spectral_maturation/*.csv;outputs/tables/normative_exponent/normative_age_association.csv,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,138,138,138,,True,OK,,,,
fig4_clinical_subjects.csv,outputs/tables/manuscript0621/ados_primary_vs_domain_subjects.csv;outputs/tables/main_cohort_subject_list.csv,scripts/prepare_figure_source_data.py,ASD clinical complete-case n=60 (exclude S045),60,60,60,,True,OK,,,,
fig4_clinical_models.csv,outputs/tables/manuscript0621/ados_primary_total_authoritative.csv;ados_domain_authoritative.csv,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,60,60,60,,True,OK,,,,
fig5_movie_isc_subjects.csv,derivatives/derivatives_task_movie/stats/movie_isc_subject_values_with_neutral.csv;movie_included_final_pairs(),scripts/prepare_figure_source_data.py,movie spectral-QC cohort n=136,136,136,136,,True,OK,,,,
fig5_movie_isc_lmm_long.csv,fig5_movie_isc_subjects.csv + main_cohort_subject_list.csv,scripts/prepare_figure_source_data.py,movie ISC repeated-measures input n=136×3,136,408,408,,True,OK,,,,
fig5_movie_isc_models.csv,derivatives/derivatives_task_movie/stats/movie_isc_group_stats_with_neutral.csv;pingouin mixed_anova on ISC long table,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,136,136,136,,True,OK,,,,
fig5_movie_sliding_isc_timecourse.csv,jr_remote_bundle/outputs/jr_modelling/posterior_movie_isc/lagged_isc_empirical.csv,scripts/prepare_figure_source_data.py,lag-resolved ISC group means for Fig5 trajectories,126,126,126,,True,OK,,,,
fig5_controls_summary.csv,outputs/tables/followup_exploration/isc_mechanism_group_tests.csv;classic_isc/aperiodic_envelope_partial_analysis.csv;manuscript0621/delta_exponent_authoritative.csv;gaze_sensitivity_group_tests.csv,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,8,8,8,,True,OK,,,,
fig5_rest_movie_coupling.csv,outputs/tables/manuscript0621/rest_movie_coupling_authoritative.csv;coordination_feature/rest_movie_coupling_bootstrap.csv,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,2,2,2,,True,OK,,,,
fig5_hbn_convergence.csv,jr_remote_bundle/outputs/hbn_external_movie/tables/isc_group_stats_matched.csv,scripts/prepare_figure_source_data.py,see builder docstring / notes column in CSV,4,4,4,,True,OK,,,,
montage_64ch.json,fig2_channel_level.csv + MNE GSN-HydroCel-64_1.0,scripts/prepare_figure_source_data.py,64-channel GSN-HydroCel-1.0 xy for topomaps,64,64,64,,True,OK,,,,
cohort_covariate_exclusion_diagnostic.csv,supp_table_s1 + main_cohort_subject_list + resting_features_locked.csv,scripts/prepare_figure_source_data.py,IQ-balanced & strict-QC covariate completeness,76;90,95,166,diagnostics/cohort_covariate_exclusion_diagnostic.csv,True,OK,S045 missing posterior_exponent; strict-QC also excludes T060,,,
