outcome,predictor,n,spearman_rho,spearman_p,partial_spearman_rho,partial_spearman_p,ols_beta,ols_p,ols_n,analysis_tier
ADOS_total,rest_posterior_exponent,61,-0.2780836308985595,0.030009173128472278,-0.2737176097303014,0.03279988562029997,-6.741605155058708,0.006420734890342625,61,exploratory
ADOS_total,movie_posterior_exponent,61,0.10618370824923357,0.4153753564899948,0.15695399259650977,0.22704974120612298,1.9540519211214993,0.25813539627255844,61,exploratory
ADOS_total,delta_movie_rest,61,0.3472234006275945,0.006112870507424036,0.3551031200423056,0.0049816129814976105,3.4559022238230526,0.1093438975698007,61,exploratory
ADOS_total,cmi_log_ratio,61,0.35489965359170783,0.005008326242540571,0.3612903225806451,0.004226984967242834,8.472079222311486,0.044332349721585035,61,exploratory
ADOS_total,cmi_pct_change,61,0.35489965359170783,0.005008326242540571,0.35695399259650973,0.004744316732920282,0.06252434724938867,0.11326033289513233,61,exploratory
ADOS_total,movie_isc_mean_z,61,-0.02685351211139307,0.8372356218380467,-0.039873083024854566,0.7602918905319205,-0.4823069297079849,0.9310289112826331,61,exploratory
ADOS_SA,rest_posterior_exponent,61,-0.3230159028061311,0.011113570814141804,-0.262853818820153,0.04069496556721813,-5.0270368381646575,0.056435614497471746,61,exploratory
ADOS_SA,movie_posterior_exponent,61,-0.033883731028225894,0.7954500852197173,0.003754676820487046,0.9770891962571665,-0.2603295995528532,0.7757827529935118,61,exploratory
ADOS_SA,delta_movie_rest,61,0.2511985924196125,0.05084664898989268,0.2510345192514367,0.05100309179263338,1.2583313541570467,0.35960695693343003,61,exploratory
ADOS_SA,cmi_log_ratio,61,0.2648060828086371,0.03917062827228536,0.26779835801332963,0.036926154256331556,3.6310037797364147,0.22149570013801279,61,exploratory
ADOS_SA,cmi_pct_change,61,0.2648060828086371,0.03917062827228536,0.2695434894932743,0.03566714985438157,0.0273901178205399,0.3271999928399961,61,exploratory
ADOS_SA,movie_isc_mean_z,61,-0.02632401414543446,0.8404025374985338,-0.0174777561855066,0.8936462928237056,-0.7500462362486041,0.8074406733711847,61,exploratory
ADOS_RRB,rest_posterior_exponent,61,-0.17201728616294007,0.18496907084045444,-0.1783183500793231,0.16914794118938897,-1.07824629518759,0.3917992484596978,61,exploratory
ADOS_RRB,movie_posterior_exponent,61,0.14284188569626435,0.2721198502713238,0.23046007403490212,0.07396154648906661,1.1230531684345813,0.013240706725684533,61,exploratory
ADOS_RRB,delta_movie_rest,61,0.25494979751760505,0.04737540035688039,0.28519301956636695,0.02589136552342284,1.1750601542356967,0.00666388996961538,61,exploratory
ADOS_RRB,cmi_log_ratio,61,0.2497272094303182,0.05226368366230473,0.27673188789000525,0.03085110784679218,2.325006932839385,0.01392921525902489,61,exploratory
ADOS_RRB,cmi_pct_change,61,0.2497272094303182,0.05226368366230473,0.27525118984664193,0.031795945106179946,0.017799881156058565,0.02454344470175296,61,exploratory
ADOS_RRB,movie_isc_mean_z,61,-0.14615043626465024,0.26105360403167926,-0.1603913273400317,0.21690742341815344,-2.5463584648600577,0.11278057627238187,61,exploratory
