frequency_hz,group,n_subjects,mean_log10_psd,sem_log10_psd,ci95_low_log10_psd,ci95_high_log10_psd
1.0,ASD,61,2.0571022391799,0.026754398310424136,2.0046636184914686,2.109540859868331
1.5,ASD,61,1.7601000934841091,0.020624472770699457,1.719676126853538,1.8005240601146801
2.0,ASD,61,1.5260672677894336,0.020971385997601743,1.4849633512341343,1.567171184344733
2.5,ASD,61,1.3603001086793631,0.020044348416702662,1.321013185782626,1.3995870315761003
3.0,ASD,61,1.2850448280708444,0.01851793817304767,1.248749669251671,1.3213399868900177
3.5,ASD,61,1.2421366337193385,0.018817619815969588,1.205254098880038,1.279019168558639
4.0,ASD,61,1.1964878232618752,0.019575126339917617,1.1581205756356368,1.2348550708881136
4.5,ASD,61,1.1211767865104905,0.020965375764184366,1.080084650012689,1.1622689230082919
5.0,ASD,61,1.0429223521761564,0.022166668372928265,0.999475682165217,1.0863690221870959
5.5,ASD,61,0.973032640193407,0.023286151601412994,0.9273917830546375,1.0186734973321765
6.0,ASD,61,0.9460028239275922,0.027917491651366082,0.8912845402909146,1.0007211075642697
6.5,ASD,61,0.9344229826321204,0.032210079263524274,0.8712912272756128,0.997554737988628
7.0,ASD,61,0.9306100881097799,0.03406213964293727,0.8638482944096229,0.9973718818099369
7.5,ASD,61,0.9191849191537107,0.034806541653106725,0.8509640975136216,0.9874057407937998
8.0,ASD,61,0.9250121928578275,0.03615403329760972,0.8541502875945125,0.9958740981211426
8.5,ASD,61,0.9879675569642762,0.04617106771750403,0.8974722642379683,1.0784628496905841
9.0,ASD,61,1.032350409336084,0.052330405164831686,0.9297828152130139,1.1349180034591542
9.5,ASD,61,0.9996360707305403,0.04693879852972494,0.9076360256122794,1.0916361158488013
10.0,ASD,61,0.8751497442484558,0.04078494600287221,0.7952112500828263,0.9550882384140853
10.5,ASD,61,0.7339765809709874,0.039113172189137894,0.6573147634802772,0.8106383984616976
11.0,ASD,61,0.5887310756963747,0.03568942409208968,0.5187798044758789,0.6586823469168706
11.5,ASD,61,0.44535507805714214,0.028859351295590592,0.3887907495177846,0.5019194065964997
12.0,ASD,61,0.33156039157351325,0.02462042042450831,0.283304367541477,0.3798164156055495
12.5,ASD,61,0.25907023191276174,0.02291476350972997,0.214157295433691,0.3039831683918325
13.0,ASD,61,0.2154133555604352,0.022841986295495557,0.17064306242126392,0.2601836486996065
13.5,ASD,61,0.17673663324950903,0.022729160203006936,0.13218747925161545,0.2212857872474026
14.0,ASD,61,0.14386246293525612,0.02423363761796302,0.0963645332040486,0.19136039266646365
14.5,ASD,61,0.11126852814213531,0.025406459042380532,0.061471868419069466,0.16106518786520116
15.0,ASD,61,0.08682296428449315,0.025198972481915292,0.037432978219939184,0.13621295034904712
15.5,ASD,61,0.047144038161428044,0.025892396051024433,-0.003605058098579847,0.09789313442143593
16.0,ASD,61,0.026166619596906547,0.02687095298535095,-0.026500448254381317,0.07883368744819441
16.5,ASD,61,0.008530477893982966,0.026964647939048486,-0.044320232066552064,0.061381187854517995
17.0,ASD,61,-0.017359677466124972,0.026869812776509426,-0.07002451050808345,0.0353051555758335
17.5,ASD,61,-0.038295166488763986,0.026081470305335863,-0.08941484828722228,0.012824515309694307
18.0,ASD,61,-0.047426993870381046,0.026517420220191393,-0.09940113750195617,0.00454714976119408
18.5,ASD,61,-0.07009007383451527,0.02604170625631672,-0.12113181809689604,-0.019048329572134495
19.0,ASD,61,-0.09822071884199825,0.026993152284813172,-0.15112729732023206,-0.04531414036376443
19.5,ASD,61,-0.13236645849418024,0.026040722585420322,-0.18340627476160407,-0.08132664222675642
20.0,ASD,61,-0.15681986647786497,0.025848148035855976,-0.2074822366281427,-0.10615749632758725
20.5,ASD,61,-0.19241176858633277,0.026516658507640806,-0.24438441926130874,-0.1404391179113568
21.0,ASD,61,-0.22503546752142814,0.026373408770540573,-0.2767273487116877,-0.17334358633116861
21.5,ASD,61,-0.24983140692854702,0.02592627563959041,-0.3006469071821442,-0.1990159066749498
22.0,ASD,61,-0.2843231550636589,0.026345672477213086,-0.3359606731189966,-0.23268563700832126
22.5,ASD,61,-0.31437841391655397,0.026818930164294787,-0.36694351703857175,-0.2618133107945362
23.0,ASD,61,-0.3396468021054012,0.027038467357531838,-0.39264219812616363,-0.2866514060846388
23.5,ASD,61,-0.36413004700067825,0.027536144742520825,-0.4181008906960191,-0.3101592033053374
24.0,ASD,61,-0.37639452200031714,0.027182537069554848,-0.42967229465664464,-0.32311674934398965
24.5,ASD,61,-0.40894511578983417,0.028634332729938226,-0.4650684079405131,-0.35282182363915526
25.0,ASD,61,-0.4178255740779186,0.02766349354096467,-0.47204602141820934,-0.36360512673762785
25.5,ASD,61,-0.43118157757596165,0.027937761855048864,-0.48593959081185745,-0.37642356434006585
26.0,ASD,61,-0.44451178701567534,0.030875459643690383,-0.5050276879173085,-0.3839958861140422
26.5,ASD,61,-0.4578553259861799,0.03144190811356383,-0.519481465888765,-0.3962291860835948
27.0,ASD,61,-0.47735089140746045,0.03171011065317393,-0.5395027082876813,-0.41519907452723953
27.5,ASD,61,-0.4968875310515491,0.032718868764022864,-0.561016513829034,-0.4327585482740643
28.0,ASD,61,-0.5083036616943991,0.033250272100673495,-0.5734741950117191,-0.4431331283770791
28.5,ASD,61,-0.5198549023505038,0.0341567223730444,-0.5868020782016709,-0.45290772649933675
29.0,ASD,61,-0.5340430784965255,0.034481470448824075,-0.6016267605762208,-0.4664593964168304
29.5,ASD,61,-0.5416947701297431,0.03470413310214075,-0.6097148710099389,-0.4736746692495472
30.0,ASD,61,-0.5420568430953171,0.03695881655959461,-0.6144961235521226,-0.4696175626385117
30.5,ASD,61,-0.5534457297750722,0.03763100410994499,-0.6272024978305644,-0.47968896171958003
31.0,ASD,61,-0.5609766127659102,0.03733765255444687,-0.634158411772626,-0.4877948137591943
31.5,ASD,61,-0.5740117698332153,0.037985467061549684,-0.6484632852738528,-0.49956025439257795
32.0,ASD,61,-0.5941056769603809,0.03963835029487516,-0.6717968435383361,-0.5164145103824256
32.5,ASD,61,-0.6179392676008345,0.040095422749768204,-0.6965262961903802,-0.5393522390112888
33.0,ASD,61,-0.6366250985983598,0.03960479803075637,-0.7142505027386423,-0.5589996944580773
33.5,ASD,61,-0.6506224227080848,0.03934630226461846,-0.727741175146737,-0.5735036702694326
34.0,ASD,61,-0.6538926783851506,0.042447513068758075,-0.7370898039999164,-0.5706955527703849
34.5,ASD,61,-0.6632476492677817,0.04297847783990665,-0.7474854658339987,-0.5790098327015647
35.0,ASD,61,-0.6702456918003155,0.04396781106042778,-0.756422601478754,-0.584068782121877
35.5,ASD,61,-0.6873731583422189,0.0436554571127992,-0.7729378542833053,-0.6018084624011325
36.0,ASD,61,-0.6883606562629255,0.04525078196803886,-0.7770521889202817,-0.5996691236055693
36.5,ASD,61,-0.7025057066071058,0.045320237039226725,-0.7913333712039902,-0.6136780420102214
37.0,ASD,61,-0.7201132875355652,0.04586010773051355,-0.8099990986873717,-0.6302274763837588
37.5,ASD,61,-0.7365231580332435,0.047012522043388384,-0.8286677012382848,-0.6443786148282022
38.0,ASD,61,-0.7427373591409668,0.04857241235325344,-0.8379392873533436,-0.6475354309285901
38.5,ASD,61,-0.7444832649828313,0.047564168071044445,-0.8377090344020784,-0.6512574955635843
39.0,ASD,61,-0.7419645885914466,0.04881380937909906,-0.8376396549744808,-0.6462895222084125
39.5,ASD,61,-0.7566990530367977,0.04936162950393434,-0.853447846864509,-0.6599502592090865
40.0,ASD,61,-0.7639754791710689,0.04999811006720281,-0.8619717749027864,-0.6659791834393514
1.0,TD,77,2.0719082286879016,0.02262796821717744,2.027557410982234,2.1162590463935693
1.5,TD,77,1.81062792228284,0.020753316765460744,1.7699514214225371,1.851304423143143
2.0,TD,77,1.5701316268522756,0.02179298896296392,1.5274173684848662,1.612845885219685
2.5,TD,77,1.3956879195156366,0.021724557894450696,1.3531077860425134,1.43826805298876
3.0,TD,77,1.2984803309232638,0.022002946697524964,1.2553545553961147,1.3416061064504128
3.5,TD,77,1.2469143081035512,0.023672644568303366,1.2005159247496766,1.2933126914574258
4.0,TD,77,1.193712725132713,0.024527384730807282,1.145639051060331,1.2417863992050953
4.5,TD,77,1.1066500000251211,0.025149599055805348,1.0573567858757427,1.1559432141744996
5.0,TD,77,1.0108150515088183,0.023634344002640573,0.9644917372636428,1.057138365753994
5.5,TD,77,0.9423377381014985,0.023755245638496764,0.8957774566500448,0.9888980195529521
6.0,TD,77,0.9175981132493257,0.024980500882773114,0.8686363315190904,0.9665598949795611
6.5,TD,77,0.9240265270332982,0.029023560816609315,0.867140347832744,0.9809127062338525
7.0,TD,77,0.943752847489321,0.03412129035687574,0.8768751183898446,1.0106305765887975
7.5,TD,77,0.9548896979543945,0.037123470767905474,0.8821276952492998,1.0276517006594892
8.0,TD,77,0.9799369427457587,0.040319341055570904,0.9009110342768397,1.0589628512146776
8.5,TD,77,1.0505927554154608,0.0457541764336866,0.9609145696054351,1.1402709412254866
9.0,TD,77,1.0849046677880514,0.04822844414389271,0.9903769172660217,1.179432418310081
9.5,TD,77,1.0595392984612542,0.051131641803259895,0.9593212805268647,1.1597573163956436
10.0,TD,77,0.9617562784757645,0.05318333021706139,0.8575169512503242,1.0659956057012048
10.5,TD,77,0.7817254942188429,0.049000448772312084,0.6856846146251112,0.8777663738125745
11.0,TD,77,0.5905585048984485,0.03761720806077284,0.5168287770993337,0.6642882326975633
