cohort,section,metric,value,note
Primary,descriptive,ASD_n,61,
Primary,descriptive,ASD_age_mean_mo,85.7,
Primary,descriptive,ASD_rest_mean,1.868,
Primary,descriptive,ASD_movie_mean,1.955,
Primary,descriptive,ASD_delta_mean,0.087,
Primary,descriptive,ASD_pct_mean,5.4,
Primary,descriptive,TD_n,75,
Primary,descriptive,TD_age_mean_mo,89.2,
Primary,descriptive,TD_rest_mean,1.991,
Primary,descriptive,TD_movie_mean,1.904,
Primary,descriptive,TD_delta_mean,-0.087,
Primary,descriptive,TD_pct_mean,-4.23,
Primary,age,group_age_diff_p,0.255,
Primary,age_correlation,rest_posterior_exponent,-0.174,p=0.0423
Primary,age_correlation,movie_posterior_exponent,-0.249,p=0.00344
Primary,age_correlation,delta,-0.116,p=0.177
Primary,age_correlation,pct,-0.097,p=0.259
Primary,mixed_model,interaction_no_cov_beta,-0.1739,p=9.04e-05
Primary,mixed_model,interaction_age_sex_iq_beta,-0.1739,p=9.9e-05
Primary,delta_models,delta_no_cov_TD_beta,-0.1739,p=0.0001
Primary,delta_models,delta_age_sex_iq_TD_beta,-0.1478,p=0.00472
Primary,delta_models,pct_age_sex_iq_TD_beta,-8.3925,p=0.00404
Primary,delta_models,logratio_age_sex_iq_TD_beta,-0.0727,p=0.00423
Primary,delta_models,delta_resid_TD_beta,-0.0948,p=0.0336
Primary,age_matched_pm12,n_pairs,61,
Primary,age_matched_pm12,ASD_delta,0.087,
Primary,age_matched_pm12,TD_delta,-0.09,
Primary,age_matched_pm12,paired_delta_p,0.000111,
Primary,age_matched_pm12,ASD_pct,5.4,
Primary,age_matched_pm12,TD_pct,-4.35,
HBN,descriptive,ASD_n,224,
HBN,descriptive,ASD_age_mean_mo,99.7,
HBN,descriptive,ASD_rest_mean,2.195,
HBN,descriptive,ASD_movie_mean,2.104,
HBN,descriptive,ASD_delta_mean,-0.091,
HBN,descriptive,ASD_pct_mean,6.06,
HBN,descriptive,TD_n,224,
HBN,descriptive,TD_age_mean_mo,98.4,
HBN,descriptive,TD_rest_mean,2.36,
HBN,descriptive,TD_movie_mean,1.955,
HBN,descriptive,TD_delta_mean,-0.405,
HBN,descriptive,TD_pct_mean,-11.59,
HBN,age,group_age_diff_p,0.39,
HBN,age_correlation,rest_posterior_exponent,0.035,p=0.462
HBN,age_correlation,movie_posterior_exponent,-0.093,p=0.0481
HBN,age_correlation,delta,-0.087,p=0.0668
HBN,age_correlation,pct,0.012,p=0.802
HBN,mixed_model,interaction_no_cov_beta,-0.3138,p=0.000131
HBN,mixed_model,interaction_age_sex_iq_beta,-0.3138,p=0.000134
HBN,delta_models,delta_no_cov_TD_beta,-0.3138,p=6.44e-08
HBN,delta_models,delta_age_sex_iq_TD_beta,-0.2973,p=3.15e-07
HBN,delta_models,pct_age_sex_iq_TD_beta,-15.4443,p=0.000131
HBN,delta_models,logratio_age_sex_iq_TD_beta,-0.1347,p=2.59e-06
HBN,delta_models,delta_resid_TD_beta,-0.2849,p=7.45e-07
HBN,age_matched_pm12,n_pairs,108,
HBN,age_matched_pm12,ASD_delta,-0.165,
HBN,age_matched_pm12,TD_delta,-0.394,
HBN,age_matched_pm12,paired_delta_p,0.00212,
HBN,age_matched_pm12,ASD_pct,-2.56,
HBN,age_matched_pm12,TD_pct,-12.27,
