model,term,coef,se,pvalue,n_obs,used_mixedlm
mixed_no_cov,Intercept,1.8681096518547982,0.025789657696281183,5.021643816682362e-178,272,False
mixed_no_cov,C(state)[T.movie],0.08655902517073111,0.03647208368304054,0.01833571871917735,272,False
mixed_no_cov,C(group)[T.TD],0.12338669627154175,0.034728370034967954,0.0004500592846644523,272,False
mixed_no_cov,C(state)[T.movie]:C(group)[T.TD],-0.17389884415571602,0.049113331902563055,0.00047030421360862845,272,False
mixed_covariates,Intercept,2.0306536540717834,0.10775954181776477,8.88775467946774e-51,272,False
mixed_covariates,C(state)[T.movie],0.08655902517073177,0.035165279187582554,0.014476030807322267,272,False
mixed_covariates,C(group)[T.TD],0.15388974720457974,0.0378774711001515,6.398266556737958e-05,272,False
mixed_covariates,C(sex)[T.M],0.08187872997407142,0.02948615849779487,0.0058819994646257265,272,False
mixed_covariates,C(state)[T.movie]:C(group)[T.TD],-0.17389884415571777,0.047353588108515955,0.0002908854239374043,272,False
mixed_covariates,age_months,-0.0022848857659883183,0.0007190698017195315,0.0016618949537000511,272,False
mixed_covariates,IQ_total,0.00018987072935559585,0.0008079708398089536,0.8143932257169804,272,False
mixed_covariates,usable_epochs,-0.0004989326652739727,0.00046794715466448095,0.28730018790158884,272,False
ols_cluster_robust,Intercept,2.0306536540717834,0.10069791317035068,1.9557131008455458e-90,272,False
ols_cluster_robust,C(state)[T.movie],0.08655902517073177,0.03879968433468038,0.02568637165892009,272,False
ols_cluster_robust,C(group)[T.TD],0.15388974720457974,0.029766860332430343,2.3430115854563127e-07,272,False
ols_cluster_robust,C(sex)[T.M],0.08187872997407142,0.02947280907055193,0.005467596599540534,272,False
ols_cluster_robust,C(state)[T.movie]:C(group)[T.TD],-0.17389884415571777,0.04475514927446414,0.0001020940256811312,272,False
ols_cluster_robust,age_months,-0.0022848857659883183,0.0007817151472951202,0.0034677282474318526,272,False
ols_cluster_robust,IQ_total,0.00018987072935559585,0.0007496440811466479,0.8000509465941931,272,False
ols_cluster_robust,usable_epochs,-0.0004989326652739727,0.0005292167850266434,0.3457957012653232,272,False
