cohort,measure,asd,td,p_value,notes
Registration/effective resting sample,N,80,88,,
Registration/effective resting sample,Age months mean (SD),85.0 (16.9),88.8 (19.9),0.184,
Registration/effective resting sample,Age range months,46-131,40-130,,
Registration/effective resting sample,Sex M/F,71/9,58/30,,
Registration/effective resting sample,Full-scale IQ mean (SD),93.4 (17.0),112.8 (14.3),<0.001,
Registration/effective resting sample,ADOS total mean (SD),14.6 (3.4),NA,,
Registration/effective resting sample,ADOS social affect mean (SD),9.7 (2.2),NA,,
Registration/effective resting sample,ADOS restricted/repetitive behavior mean (SD),5.1 (1.4),NA,,
Primary resting-state spectral cohort,N,61,77,,
Primary resting-state spectral cohort,Age months mean (SD),85.7 (16.9),88.8 (19.6),0.319,
Primary resting-state spectral cohort,Age range months,47-131,40-130,,
Primary resting-state spectral cohort,Sex M/F,56/5,49/28,,
Primary resting-state spectral cohort,Full-scale IQ mean (SD),95.0 (15.2),113.2 (14.6),<0.001,
Primary resting-state spectral cohort,ADOS total mean (SD),14.1 (3.1),NA,,
Primary resting-state spectral cohort,ADOS social affect mean (SD),9.3 (2.0),NA,,
Primary resting-state spectral cohort,ADOS restricted/repetitive behavior mean (SD),4.9 (1.3),NA,,
Resting 1:1 matched cohort,N,55,55,,
Resting 1:1 matched cohort,Age months mean (SD),84.1 (16.3),84.8 (17.6),0.823,
Resting 1:1 matched cohort,Age range months,46-131,46-119,,
Resting 1:1 matched cohort,Sex M/F,51/4,43/12,,Corrected against current supplementary table.
Resting 1:1 matched cohort,Full-scale IQ mean (SD),101.3 (13.6),106.2 (12.3),0.053,
Resting 1:1 matched cohort,ADOS total mean (SD),14.0 (3.2),NA,,
Resting 1:1 matched cohort,ADOS social affect mean (SD),9.4 (2.1),NA,,
Resting 1:1 matched cohort,ADOS restricted/repetitive behavior mean (SD),4.9 (1.3),NA,,
IQ-balanced subset,N,38,38,,
IQ-balanced subset,Age months mean (SD),83.2 (13.5),86.6 (14.8),0.308,
IQ-balanced subset,Age range months,47-108,48-112,,
IQ-balanced subset,Sex M/F,34/4,34/4,,
IQ-balanced subset,Full-scale IQ mean (SD),102.9 (12.7),105.1 (12.5),0.452,
IQ-balanced subset,ADOS total mean (SD),14.0 (2.9),NA,,
IQ-balanced subset,ADOS social affect mean (SD),9.2 (2.1),NA,,
IQ-balanced subset,ADOS restricted/repetitive behavior mean (SD),4.8 (1.3),NA,,
Strict specparam-QC cohort,N,44,46,,
Strict specparam-QC cohort,Age months mean (SD),85.4 (16.3),84.4 (16.4),0.788,
Strict specparam-QC cohort,Age range months,47-131,48-119,,
Strict specparam-QC cohort,Sex M/F,42/2,35/11,,
Strict specparam-QC cohort,Full-scale IQ mean (SD),101.8 (12.3),106.0 (12.5),0.109,
Strict specparam-QC cohort,ADOS total mean (SD),13.8 (3.2),NA,,
Strict specparam-QC cohort,ADOS social affect mean (SD),9.2 (2.0),NA,,
Strict specparam-QC cohort,ADOS restricted/repetitive behavior mean (SD),4.8 (1.3),NA,,
Movie Aperiodic-ISC cohort,N,58,78,,
Movie Aperiodic-ISC cohort,Age months mean (SD),83.9 (15.7),88.1 (19.9),0.192,
Movie Aperiodic-ISC cohort,Age range months,46-121,40-121,,
Movie Aperiodic-ISC cohort,Sex M/F,53/5,58/20,0.013,Corrected against current supplementary table; ASD movie cohort has 53 male and 5 female participants.
Movie Aperiodic-ISC cohort,Full-scale IQ mean (SD),93.5 (17.2),112.2 (14.7),<0.001,
Movie Aperiodic-ISC cohort,ADOS total mean (SD),14.4 (2.9),NA,,
Resting + movie matched cohort,N,46,46,,
Resting + movie matched cohort,Age months mean (SD),80.4 (13.6),82.5 (15.7),0.498,
Resting + movie matched cohort,Age range months,46-108,40-112,,
Resting + movie matched cohort,Sex M/F,39/7,39/7,,Corrected against current supplementary table.
Resting + movie matched cohort,Full-scale IQ mean (SD),102.7 (15.0),108.9 (14.8),0.05,
Dual-paradigm post-QC matched cohort,N,34,34,,
Dual-paradigm post-QC matched cohort,Age months mean (SD),82.2 (11.9),86.1 (15.8),0.245,
Dual-paradigm post-QC matched cohort,Age range months,47-108,48-117,,
Dual-paradigm post-QC matched cohort,Sex M/F,31/3,26/8,,Corrected against current supplementary table.
Dual-paradigm post-QC matched cohort,Full-scale IQ mean (SD),98.8 (14.9),104.9 (12.2),0.069,
HBN The Present matched cohort,N,119,119,,
HBN The Present matched cohort,Age months mean (SD),99.7 (15.2),99.1 (16.5),0.755,
HBN The Present matched cohort,Age range months,72-131,70-129,,
HBN The Present matched cohort,Sex M/F,18/101,18/101,,Retained as manuscript-facing value; the sex-matched HBN subset is female-predominant in both groups.
HBN The Present matched cohort,Full-scale IQ mean (SD),96.0 (20.6),103.8 (15.2),0.001,
