time_seconds,group,isc_mean,ci_low,ci_high,n,isc_definition,segment_label
2.0,TD,0.03435612419972316,-0.08742567168082832,0.15613792008027463,,within_group_loo,Neutral
2.0,ASD,0.16024739607106003,0.01669530173863612,0.303799490403484,,within_group_loo,Neutral
2.5,TD,-0.03370529810301385,-0.13958368706687613,0.07217309086084842,,within_group_loo,Neutral
2.5,ASD,0.18467939051116705,0.047611189975026,0.3217475910473081,,within_group_loo,Neutral
3.0,TD,-0.0763844005735481,-0.17888551152834117,0.026116710381244967,,within_group_loo,Neutral
3.0,ASD,0.17441360915407284,0.053374186600383317,0.2954530317077624,,within_group_loo,Neutral
3.5,TD,-0.08856738585773179,-0.19354092306871856,0.01640615135325499,,within_group_loo,Neutral
3.5,ASD,0.17950228997388748,0.048157810503886234,0.3108467694438887,,within_group_loo,Neutral
4.0,TD,0.0029307581843113495,-0.10615415697033223,0.11201567333895493,,within_group_loo,Neutral
4.0,ASD,0.1601637366148283,0.026414896113344605,0.293912577116312,,within_group_loo,Neutral
4.5,TD,0.016838286369994876,-0.10360828896651718,0.13728486170650694,,within_group_loo,Neutral
4.5,ASD,0.08972980661807245,-0.022346355711313354,0.20180596894745825,,within_group_loo,Neutral
5.0,TD,0.04022126386317934,-0.08124824965569191,0.1616907773820506,,within_group_loo,Neutral
5.0,ASD,-0.13700425941780808,-0.23284391764019227,-0.041164601195423894,,within_group_loo,Neutral
5.5,TD,-0.06597049755259633,-0.15625543000610018,0.02431443490090751,,within_group_loo,Neutral
5.5,ASD,-0.08825565186967155,-0.19790263217244525,0.021391328433102166,,within_group_loo,Neutral
6.0,TD,-0.05898505671898915,-0.17263570642143375,0.05466559298345545,,within_group_loo,Neutral
6.0,ASD,-0.057529111791277864,-0.1639400585975573,0.048881835015001575,,within_group_loo,Neutral
6.5,TD,-0.037349880613883446,-0.15983936337627158,0.08513960214850469,,within_group_loo,Neutral
6.5,ASD,-0.08162742266965764,-0.18536029306980525,0.022105447730489974,,within_group_loo,Neutral
7.0,TD,0.11211960374358994,-0.010491123143958433,0.2347303306311383,,within_group_loo,Neutral
7.0,ASD,-0.15509222865473044,-0.260183023500999,-0.050001433808461906,,within_group_loo,Neutral
7.5,TD,0.13735475752331652,0.02418036756288497,0.2505291474837481,,within_group_loo,Neutral
7.5,ASD,-0.14997875644429456,-0.2593565989028021,-0.04060091398578701,,within_group_loo,Neutral
8.0,TD,0.1187335481692204,0.016940853395955316,0.22052624294248546,,within_group_loo,Neutral
8.0,ASD,0.06404627492445791,-0.049835039697108535,0.17792758954602436,,within_group_loo,Neutral
8.5,TD,0.15488212116698555,0.04643042926571242,0.26333381306825865,,within_group_loo,Neutral
8.5,ASD,0.0980419709513593,0.005472257641111394,0.1906116842616072,,within_group_loo,Neutral
9.0,TD,0.1485860714785455,0.02951279866438082,0.26765934429271016,,within_group_loo,Neutral
9.0,ASD,0.1378719102045132,0.024972274306489142,0.25077154610253727,,within_group_loo,Neutral
9.5,TD,0.16242944035541393,0.050349636393498695,0.27450924431732915,,within_group_loo,Neutral
9.5,ASD,0.13198408925903166,0.01561945681884945,0.24834872169921385,,within_group_loo,Neutral
10.0,TD,-0.018118901453614545,-0.12491073345665032,0.08867293054942124,,within_group_loo,Neutral
10.0,ASD,0.12909290243853966,0.013796232435544412,0.24438957244153492,,within_group_loo,Neutral
10.5,TD,0.03365948989798955,-0.07828169320471032,0.14560067300068943,,within_group_loo,Neutral
10.5,ASD,0.06057842733332016,-0.06866172960819408,0.18981858427483442,,within_group_loo,Neutral
11.0,TD,0.05703209549325205,-0.05796735706986108,0.17203154805636517,,within_group_loo,Neutral
11.0,ASD,0.08726730572040418,-0.046792470760547225,0.2213270822013556,,within_group_loo,Neutral
11.5,TD,0.1698717263073458,0.06852821980713779,0.2712152328075538,,within_group_loo,Neutral
11.5,ASD,-0.005515282699284095,-0.12213676866189374,0.11110620326332554,,within_group_loo,Neutral
12.0,TD,0.21697797494395854,0.10327691474553073,0.33067903514238633,,within_group_loo,Neutral
12.0,ASD,0.028744309119623158,-0.0932170128250963,0.15070563106434262,,within_group_loo,Neutral
12.5,TD,0.2470207797945215,0.13409485801750604,0.35994670157153696,,within_group_loo,Neutral
12.5,ASD,0.047405372404067427,-0.08198256622353145,0.1767933110316663,,within_group_loo,Neutral
13.0,TD,0.22853712109743363,0.1229177035591555,0.33415653863571176,,within_group_loo,Neutral
13.0,ASD,0.06321546469784112,-0.05140379399804117,0.17783472339372342,,within_group_loo,Neutral
13.5,TD,0.056752407618181566,-0.064782980186709,0.17828779542307213,,within_group_loo,Neutral
13.5,ASD,-0.0017624588223717368,-0.09966892410091534,0.09614400645617187,,within_group_loo,Neutral
14.0,TD,0.0782246674548592,-0.04671617779283077,0.20316551270254918,,within_group_loo,Neutral
14.0,ASD,-0.012785302559676229,-0.11881515887261046,0.09324455375325799,,within_group_loo,Neutral
14.5,TD,0.10080560419316009,-0.0058904280512769025,0.2075016364375971,,within_group_loo,Neutral
14.5,ASD,0.09346210197878993,-0.016392699338966935,0.20331690329654678,,within_group_loo,Neutral
15.0,TD,0.15445626511389102,0.03320788153209374,0.2757046486956883,,within_group_loo,Neutral
15.0,ASD,0.060996057465536886,-0.06308986429432115,0.1850819792253949,,within_group_loo,Neutral
